local_authority_code,local_authority_name,proportion_of_la_in_dno,overall_psr_records,overall_eligibility_estimate,overall_psr_reach,over_65_psr_records,over_65_eligibility_estimate,over_65_psr_reach,disability_psr_records,disability_eligibility_estimate,disability_psr_reach,child_under_5_psr_records,child_under_5_eligibility_estimate,child_under_5_psr_reach,no_english_psr_records,no_english_eligibility_estimate,no_english_psr_reach,partial_sight_psr_records,partial_sight_eligibility_estimate,partial_sight_psr_reach,blind_psr_records,blind_eligibility_estimate,blind_psr_reach,hearing_impaired_psr_records,hearing_impaired_eligibility_estimate,hearing_impaired_psr_reach,dementia_psr_records,dementia_eligibility_estimate,dementia_psr_reach,mental_health_psr_records,mental_health_eligibility_estimate,mental_health_psr_reach
E06000054,Wiltshire,0.998963491880686,76334,101655.225762885,0.7509107321059145,54938,70327.5151153429,0.781173626139032,28737,26676.1861476861,1.0772529416650758,6072,20709.1398260148,0.2932038728316644,375,1024.0138247064,0.36620599346646326,2866,4187.16458105658,0.6844727367455903,537,2556.67883405528,0.21003811384014812,8083,10134.2456893719,0.7975926623208764,2260,4572.10630219102,0.49430171798870354,8131,4292.38033571717,1.8942869373297215
E06000058,"Bournemouth, Christchurch and Poole",1,64993,83494.3733153193,0.7784117350585021,45297,56044.40055147,0.8082341777997998,24925,25110,0.9926324173636002,5287,15589,0.3391494002181025,491,2122.414,0.23134035112847914,2705,3329.82556433121,0.8123548659652671,488,2071.46125222929,0.23558249012614563,6300,7979.7404492122,0.7894993628047098,1924,3555.72429369251,0.5410993207243258,8108,4368.43721254927,1.856041326794863
E06000059,Dorset,0.888298270569738,64985,82345.9831499322,0.7891702486771938,49827,62768.1445046335,0.7938262377075972,24052,22007.2685959657,1.092911639403044,4139,11376.9232674597,0.36380662000581265,196,357.305414777661,0.548550321080256,2676,3649.68705330932,0.7332135497956083,516,2294.08900493728,0.2249258851289021,7071,8867.85853079511,0.7973740193807534,2007,3439.43363483295,0.5835263049340617,6061,3183.60059983627,1.9038192166164665
E06000060,Buckinghamshire,0.467446251294232,36492,45008.898810077,0.8107730018897916,25595,30183.8059900957,0.8479712600988278,12590,10549.572961419,1.193413235402331,4300,11440.3499323399,0.37586262880339355,411,1123.62448623359,0.3657805655140888,1358,1970.04475175855,0.689324442395427,268,1205.96197420733,0.2222292292227161,3283,4727.86259580133,0.6943941228147222,1138,1851.85788051581,0.614517999449842,3252,2052.37752362899,1.5845038071991024
E06000062,West Northamptonshire,0.000500250125062531,5,24.7997417497159,0.2016150027069245,5,18.6184108707289,0.2685513836124862,4,5.27777777777777,0.7578947368421064,0,4.5,0,0,0.134666666666666,0,1,1.46112747916636,0.684402979383117,0,0.860385170658939,0,1,3.56231529952053,0.28071630833312117,0,1.38137037678154,0,0,1.73277595453679,0
E06000066,Somerset,0.189975669099756,18208,23722.4656567625,0.7675424748611448,12565,15878.1354617718,0.7913397659474246,6955,6549.93762049066,1.061842173617372,1574,4921.14894894633,0.31984400722863915,112,374.186566457697,0.2993159296451172,714,1016.77850065135,0.7022178375551906,138,630.142434590147,0.21899810649913942,1806,2459.21299210039,0.7343812861274424,549,949.08606885922,0.5784512258829019,2356,915.291774803138,2.57404257839718
E07000079,Cotswold,0.644058744993324,10128,13554.5902081121,0.7472007522542904,7873,10184.7431587187,0.7730190027679077,3633,3018.78021930645,1.203466213527351,679,2332.57008815489,0.29109521872378236,29,83.9821767371973,0.3453113639903471,408,562.574042723631,0.7252378691784634,77,348.551309078771,0.22091439049106643,1135,1382.2125101243,0.8211472488394215,369,547.35519465018,0.6741509053108219,878,389.393628408853,2.2547877929787883
E07000083,Tewkesbury,0.000959079283887468,6,15.8719584944545,0.3780251820905617,3,13.3988160266301,0.22390038000652523,3,2.70833333333333,1.107692307692309,1,2,0.5,0,0.02525,0,0,0.744458447611472,0,0,0.44846894434426,0,0,1.81872170227146,0,0,0.8826300532542,0,0,0.572606247048662,0
E07000084,Basingstoke and Deane,1,25477,32525.3770797529,0.7832960687136652,16718,20244.1224310309,0.8258199414153939,9422,8376,1.124880611270296,2860,8669,0.3299111777598339,169,768.408,0.21993524273563003,911,1313.37857142857,0.6936309300441073,185,777.520114285714,0.23793596667264913,2371,3230.69299564701,0.7338982698741886,791,1272.58708042042,0.6215684664492116,3190,1572.42680465634,2.028711282810513
E07000085,East Hampshire,1,19977,24596.5785918017,0.8121861309059686,14849,17939.0055933262,0.8277493377628597,6763,5579,1.2122244129772362,1734,4818,0.35990037359900373,72,195.132,0.36898099747862984,679,1173.7549962406,0.5784852905203877,107,732.342860902255,0.1461064287131505,1914,2851.22671151563,0.6712900073044604,576,1225.38767807825,0.47005532233140196,1616,1023.33441860841,1.5791514197260474
E07000086,Eastleigh,1,20607,25607.1411248686,0.8047364561125229,14034,16870.0974212066,0.8318861266538108,8001,6773,1.181308135242876,2210,6253,0.35343035343035345,107,288.86,0.37042165755037043,793,1048.18216942148,0.7565478817844021,166,636.74617768595,0.26070042635084806,1975,2523.64775302763,0.7825973326232176,657,1035.70640939415,0.6343496516395228,2198,1037.80086118261,2.1179400424618096
E07000087,Fareham,1,19340,23645.1679814528,0.8179260986925633,14392,17461.0544733712,0.824234299363098,7122,5840,1.2195205479452054,1518,4242,0.3578500707213578,62,107.868,0.5747765787814737,747,1061.90384462151,0.7034535224479295,123,666.103320717131,0.18465603784646714,2009,2583.22617452627,0.7777096793967042,691,1140.2007374127,0.6060336371716359,1682,933.80880988426,1.80122524246529
E07000088,Gosport,1,15637,17288.1463965596,0.9044925720383659,9717,11513.0749350465,0.8439969386823725,6424,5445,1.1797979797979798,1653,3495,0.47296137339055794,51,107.262,0.47547127594115346,551,651.929025974026,0.8451840277808904,128,387.378116883116,0.3304265120340331,1463,1570.34572076123,0.9316419821813544,470,805.546850034914,0.5834545811700825,2490,845.728521889387,2.9442071959891494
E07000089,Hart,1,12732,17602.8129814266,0.7232934880029698,9661,12301.8127843917,0.7853314116646035,4174,3712,1.1244612068965518,1118,4164,0.26849183477425553,63,187.658,0.3357171023883874,376,796.182920110192,0.4722532856494353,78,487.662038567493,0.15994683578226626,1167,1935.31997893821,0.6030010606516141,450,876.104811185731,0.5136371747473507,921,631.54794671364,1.4583215807961527
E07000090,Havant,1,24694,27581.2723432457,0.8953176522346782,16395,19329.1217687524,0.8482020133219026,10212,8505,1.200705467372134,2411,5015,0.4807577268195414,92,146.854,0.6264725509689896,1010,1141.41709090909,0.8848649700834409,191,709.788779220779,0.2690941384135204,2489,2742.01549807533,0.907726452219936,773,1462.40619369025,0.5285809122904522,3409,1194.54901811074,2.853796661598336
E07000091,New Forest,1,35835,41270.9893162967,0.8682854613773412,26907,31935.4918343624,0.8425422141470896,13360,10201,1.3096755220076464,2729,5851,0.4664159972654247,116,191.496,0.6057567782094665,1390,1964.49798315789,0.7075599017748054,238,1262.21368,0.18855761411174057,3653,4700.47291325266,0.7771558452556163,1220,2283.51566744867,0.5342639060423368,3080,1509.48924699863,2.0404252671054603
E07000092,Rushmoor,1,12636,16228.9135330116,0.7786103471619851,7577,9114.97574491362,0.8312693540877661,4764,4520,1.0539823008849558,1697,5097,0.33294094565430643,246,784.366,0.31362909662071026,462,612.848362264151,0.753856954586864,92,363.554113207547,0.25305723868259117,1006,1495.07492855276,0.6728759748341262,334,647.197755298476,0.5160710111640687,1824,855.193723553021,2.1328500780173396
E07000093,Test Valley,1,20299,25473.3651761381,0.7968715503287672,14139,17354.1143297695,0.8147347500036779,7552,6198,1.218457566957083,2043,5693,0.3588617600562094,91,316.13,0.2878562616645051,729,1110.19569230769,0.6566409913595288,129,683.959846153846,0.18860756333199052,2018,2701.90087364159,0.7468815824024527,586,976.169173347843,0.6003057830542533,2065,1011.22799887773,2.042071622118608
E07000094,Winchester,1,18837,23666.2902777955,0.7959422359351985,13753,16915.7061884311,0.8130313831890671,6669,5399,1.2352287460640858,1692,4828,0.3504556752278376,100,227.048,0.4404355026249956,654,1042.96664670658,0.6270574443249586,104,644.743017964071,0.16130457733129808,1806,2505.64135219864,0.7207735450308075,641,952.664612924108,0.6728495960740214,1811,1089.95221050226,1.6615407377957192
