postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
RG42 5NL,SEPD,LV,1,SZ3143,8,2026-04-13T00:36:31Z,2026-04-13T01:23:00Z,0.77
SO23 8DB,SEPD,LV,1,SZ3006,47,2026-04-13T00:36:31Z,2026-04-13T01:23:00Z,0.77
SO23 8GW,SEPD,LV,1,SZ3006,47,2026-04-13T00:36:31Z,2026-04-13T01:23:00Z,0.77
SO23 8HP,SEPD,LV,1,SZ3006,47,2026-04-13T00:36:31Z,2026-04-13T01:23:00Z,0.77
AB31 4DT,SHEPD,LV,1,SZ3270,5,2026-04-13T06:06:45Z,2026-04-13T06:06:45Z,0.0
BA9 8HG,SEPD,PSI,1,249655,61,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
BA9 8HJ,SEPD,PSI,1,249655,61,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
BA9 8HN,SEPD,PSI,1,249655,61,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
BA9 8HQ,SEPD,PSI,1,249655,61,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
BA9 8HW,SEPD,PSI,1,249655,61,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
DD1 4LD,SHEPD,LV,1,SZ3593,22,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
DD1 4LE,SHEPD,LV,1,SZ3593,22,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
DD1 4LF,SHEPD,LV,1,SZ3593,22,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
DD1 4LG,SHEPD,LV,1,SZ3593,22,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
DD1 4NP,SHEPD,LV,1,SZ3593,22,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
DD1 4NS,SHEPD,LV,1,SZ3593,22,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
HP12 3BS,SEPD,LV,1,SZ3298,18,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
HP12 4BP,SEPD,LV,1,SZ3298,18,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
HP12 4JN,SEPD,LV,1,SZ3298,18,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
HP12 4JY,SEPD,LV,1,SZ3298,18,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
IV27 4PP,SHEPD,PSI,1,250406,2,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
KW17 2HB,SHEPD,HV,1,SZ3542,14,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
KW17 2HD,SHEPD,HV,1,SZ3542,14,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
KW17 2NH,SHEPD,HV,1,SZ3542,14,2026-04-13T10:11:07Z,2026-04-13T10:11:07Z,0.0
OX4 1ET,SEPD,LV,1,SZ3256,25,2026-04-13T06:06:45Z,2026-04-13T06:06:45Z,0.0
OX4 1EU,SEPD,LV,1,SZ3256,25,2026-04-13T06:06:45Z,2026-04-13T06:06:45Z,0.0
OX4 1EZ,SEPD,LV,1,SZ3256,25,2026-04-13T06:06:45Z,2026-04-13T06:06:45Z,0.0
OX4 1JH,SEPD,LV,1,SZ3256,25,2026-04-13T06:06:45Z,2026-04-13T06:06:45Z,0.0
PH15 2AA,SHEPD,PSI,1,249054,9,2026-04-13T08:22:34Z,2026-04-13T08:22:34Z,0.0
PH15 2LS,SHEPD,PSI,1,249054,9,2026-04-13T08:22:34Z,2026-04-13T08:22:34Z,0.0
PH15 2NX,SHEPD,PSI,1,249054,9,2026-04-13T08:22:34Z,2026-04-13T08:22:34Z,0.0
