postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
BH18 9,SEPD,HV,1,1262,0.0
BH25 7,SEPD,LV,1,10,0.0
DD10 9,SHEPD,HV,1,3,0.0
DD3 8,SHEPD,LV,1,4,0.0
DD7 2,SHEPD,LV,1,24,0.0
FK8 3,SHEPD,HV,1,26,0.0
GU15 4,SEPD,LV,1,4,0.0
GU34 1,SEPD,LV,1,6,0.0
IV1 2,SHEPD,HV,1,119,0.0
NE32 2,SHEPD,LV,1,27,0.0
NN13 5,SEPD,LV,1,2,0.0
OX2 0,SEPD,HV,1,851,0.0
OX8 7,SEPD,HV,1,2,0.0
PH1 5,SHEPD,LV,1,7,0.0
PH17 2,SHEPD,PSI,1,2,0.0
RG1 1,SEPD,LV,1,7,0.0
RG19 4,SEPD,LV,1,2,0.0
RG21 5,SEPD,LV,1,20,0.0
SL4 3,SEPD,HV,1,1720,0.0
SN13 3,SEPD,HV,1,2,0.0
SN25 5,SEPD,LV,1,10,0.0
SN26 7,SEPD,LV,1,10,0.0
SO19 6,SEPD,LV,1,11,0.0
SO51 7,SEPD,LV,1,4,0.0
UB8 3,SEPD,LV,1,7,0.0
