postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
BA7 7,SEPD,"HV,LV,PSI",4,131,11.13
BA15 2,SEPD,"HV,LV,PSI",5,171,11.12
RG25 3,SEPD,"HV,LV,PSI",9,1721,11.05
TW15 2,SEPD,LV,3,124,11.04
OX9 2,SEPD,PSI,2,87,11.04
OX4 2,SEPD,LV,3,57,11.01
PO14 3,SEPD,LV,5,73,10.99
PO36 0,SEPD,"LV,PSI",8,284,10.89
AB11 6,SHEPD,"HV,LV,PSI",6,834,10.83
SL0 9,SEPD,"HV,LV,PSI",4,68,10.8
GU32 2,SEPD,"HV,LV",2,148,10.8
OX27 9,SEPD,"HV,LV,PSI",5,885,10.79
PH35 4,SHEPD,"LV,PSI",4,32,10.79
RG20 2,SEPD,"HV,PSI",2,479,10.76
BH23 3,SEPD,"LV,PSI",8,211,10.75
GU47 9,SEPD,LV,3,62,10.75
AB43 8,SHEPD,"HV,PSI",7,1807,10.67
BA12 8,SEPD,"HV,LV",7,647,10.64
PH14 9,SHEPD,"LV,PSI",4,151,10.64
GL54 2,SEPD,"HV,LV,PSI",7,3420,10.6
SO53 3,SEPD,"HV,PSI",3,1460,10.58
BA4 6,SEPD,PSI,4,33,10.54
RH12 3,SEPD,"HV,LV,PSI",6,252,10.51
FK19 8,SHEPD,PSI,2,305,10.5
DD8 5,SHEPD,"HV,LV,PSI",9,216,10.47
BH21 1,SEPD,"HV,LV",10,1723,10.46
OX2 9,SEPD,"LV,PSI",5,65,10.45
BA3 6,SEPD,HV,1,29,10.44
IV63 7,SHEPD,"HV,PSI",4,556,10.4
AB45 3,SHEPD,"HV,PSI",8,297,10.36
SN5 5,SEPD,"HV,LV,PSI",5,2404,10.36
BH31 6,SEPD,LV,4,67,10.31
GU16 7,SEPD,"LV,PSI",3,480,10.3
RG8 7,SEPD,"LV,PSI",9,245,10.26
SO18 1,SEPD,"HV,LV",3,271,10.23
SO18 6,SEPD,LV,2,28,10.23
